Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,EMPottery,IberianPottery,AegeanPottery,BaeticanPottery,TarrPottery,WMPottery,NAPottery,GallicPottery,EgyptianPottery,AdriaticPottery,ItalianPottery,total_pottery
48,Egypt,aggressive_trade,True,"1513,36","12,6","15,8","10,4","7,2","14,4","15,2","24,8",12,9,"10,6",1,133
49,Egypt,conservative_trade,False,"-0,73","2,7","1,1","1,8","2,2","1,6","1,4","2,6","1,5","1,9","1,4","0,4","18,6"
50,Egypt,conservative_trade,False,"-0,62","1,4","1,2","1,6","1,4","1,8","1,6","3,4","1,8","1,3","2,3","0,2",18
51,Gallia,conservative_trade,False,"-0,65","1,4","1,7",2,"1,5","1,7","1,4","3,5","2,6","2,1","1,4",0,"19,3"
52,Gallia,aggressive_trade,False,"-0,44","10,4","11,2","15,6",10,"11,2","11,4","6,6","14,4",14,"12,4","2,8",120
52,Gallia,aggressive_trade,True,"2942,88","10,6","12,2","11,6","12,2","9,6","11,8",36,11,"10,2","11,4",2,"138,6"
53,Gallia,random_trade,False,"-0,58","3,8",3,"4,2","3,3","4,7","3,7","3,8","3,5","3,3","3,2","0,4","36,9"
54,Gallia,aggressive_trade,False,"-0,6","10,8571428571","10,7142857143","12,2857142857","10,2857142857","9,2857142857","11,1428571429","6,2857142857","10,5714285714",12,"10,8571428571","3,2857142857","107,5714285714"
54,Gallia,aggressive_trade,True,"1103,8333333333","11,3333333333","12,6666666667",13,"18,3333333333","9,6666666667","18,3333333333",17,"12,6666666667",14,11,1,139
55,Gallia,aggressive_trade,False,"-0,7","8,3333333333",10,12,"10,3333333333","11,3333333333","7,6666666667","10,3333333333","8,6666666667",12,"8,6666666667","2,6666666667",102
