Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,EMPottery,IberianPottery,AegeanPottery,BaeticanPottery,TarrPottery,WMPottery,NAPottery,GallicPottery,EgyptianPottery,AdriaticPottery,ItalianPottery
59,Gallia,aggressive_trade,False,-0.5374999999988436,12.625,8.75,10.875,11.625,9.875,13.125,8.75,8.375,9.5,12.5,3.25
59,Gallia,aggressive_trade,True,2525.900000000099,15.5,12.5,12.0,11.0,11.0,16.0,24.0,7.5,15.5,8.5,0.5
60,Gallia,aggressive_trade,False,-0.6200000000202873,10.4,11.2,11.6,12.4,10.4,12.0,9.4,9.2,7.4,14.2,2.4
60,Gallia,aggressive_trade,True,1888.9800000000337,14.0,15.6,15.2,12.6,11.0,12.2,19.6,11.8,11.2,12.0,2.2
61,Italy,conservative_trade,False,-0.6800000000009997,1.9,1.9,1.5,2.6,1.2,1.4,3.1,1.0,2.3,1.4,0.2
62,Italy,random_trade,False,-0.8000000000010743,4.6,2.8,4.0,4.0,3.2,4.8,5.0,4.3,3.2,4.5,0.1
63,Italy,aggressive_trade,False,-0.5000000000191854,11.125,11.875,13.5,12.25,10.375,12.75,9.125,10.5,12.875,12.125,2.25
63,Italy,aggressive_trade,True,621.8000000001937,9.0,11.5,10.5,9.0,9.0,12.0,35.5,14.5,14.5,8.0,0.0
64,Italy,random_trade,False,-0.5800000000009204,3.6,3.2,3.8,3.8,4.1,4.5,2.7,3.6,3.9,4.6,0.8
65,Italy,conservative_trade,False,-0.8000000000009043,1.7,1.4,1.3,1.7,1.4,1.9,4.0,1.4,2.7,1.6,0.0
66,Italy,random_trade,False,-0.5000000000010278,3.8,2.0,3.4,2.1,4.6,3.2,3.3,4.4,4.0,3.5,1.1
67,Italy,aggressive_trade,False,-0.7800000000302431,11.8,9.8,11.6,12.8,11.6,10.2,15.0,10.4,11.2,9.8,1.0
67,Italy,aggressive_trade,True,1298.8799999999896,11.8,12.4,10.4,9.6,15.8,13.6,26.2,14.2,10.8,13.2,2.0
68,Italy,aggressive_trade,False,-0.9000000000107375,13.25,13.5,9.0,10.0,7.75,11.5,11.25,13.5,11.5,13.0,3.0
68,Italy,aggressive_trade,True,2858.8166666666784,13.5,11.833333333333334,10.5,11.5,13.166666666666666,12.5,27.5,10.0,10.833333333333334,15.333333333333334,0.16666666666666666
69,Italy,aggressive_trade,False,-0.5400000000077012,11.8,11.4,13.2,8.2,12.6,8.8,9.8,11.0,14.2,11.6,3.2
69,Italy,aggressive_trade,True,1215.1199999999412,11.8,11.4,10.8,13.2,14.4,9.0,30.2,11.0,11.8,14.0,1.2
70,Italy,aggressive_trade,False,-0.6666666666699985,12.0,9.0,12.166666666666666,14.333333333333334,10.166666666666666,13.0,9.5,12.333333333333334,13.5,9.833333333333334,3.6666666666666665
70,Italy,aggressive_trade,True,374.7249999999655,10.5,8.25,15.0,15.5,14.5,8.75,22.25,12.5,13.25,13.25,1.0
71,Iberian Peninsula,random_trade,False,-0.5400000000009,2.6,3.6,2.2,4.0,3.8,3.7,3.5,3.5,3.6,2.9,0.8
72,Iberian Peninsula,random_trade,False,-0.6400000000006614,4.8,3.0,3.1,4.0,4.6,4.3,4.1,2.9,5.4,4.3,1.1
73,Iberian Peninsula,aggressive_trade,False,-0.6000000000267663,10.833333333333334,14.0,10.0,12.5,9.166666666666666,9.166666666666666,12.5,10.5,11.5,9.166666666666666,3.5
73,Iberian Peninsula,aggressive_trade,True,1548.6249999999773,13.25,11.75,13.25,11.25,11.5,14.75,28.5,11.5,10.5,9.75,0.75
74,Iberian Peninsula,random_trade,False,-0.7000000000008587,3.6,4.1,4.2,3.5,4.4,3.3,4.7,4.0,4.4,2.7,0.4
75,Iberian Peninsula,aggressive_trade,False,-0.7333333333462758,13.166666666666666,8.5,9.166666666666666,9.5,12.166666666666666,10.333333333333334,11.833333333333334,10.666666666666666,11.166666666666666,11.666666666666666,3.3333333333333335
75,Iberian Peninsula,aggressive_trade,True,6938.500000000417,12.75,14.25,11.75,14.25,10.75,13.0,27.5,11.75,13.25,10.5,1.25
76,Iberian Peninsula,aggressive_trade,False,-0.700000000030314,10.333333333333334,11.666666666666666,10.333333333333334,12.333333333333334,13.666666666666666,9.333333333333334,7.333333333333333,8.666666666666666,11.666666666666666,13.333333333333334,3.0
76,Iberian Peninsula,aggressive_trade,True,2490.728571428666,13.0,12.428571428571429,13.571428571428571,12.428571428571429,13.714285714285714,11.0,19.857142857142858,13.714285714285714,13.857142857142858,11.571428571428571,0.8571428571428571
77,Iberian Peninsula,conservative_trade,False,-0.8600000000005361,0.9,2.5,1.6,1.6,2.4,1.4,3.6,1.1,1.4,2.6,0.3
78,Iberian Peninsula,conservative_trade,False,-0.6600000000005218,1.6,1.6,1.6,1.5,1.8,1.4,3.5,1.5,1.9,1.4,0.1
79,Iberian Peninsula,random_trade,False,-0.560000000000799,3.0,3.3,3.6,3.1,3.3,4.3,3.7,3.0,4.4,4.6,0.3
80,Iberian Peninsula,conservative_trade,False,-0.7400000000007315,1.0,1.8,1.7,1.9,2.0,1.5,4.2,1.6,1.5,1.1,0.1
81,North Africa,aggressive_trade,False,-0.8500000000134226,8.0,8.5,10.0,9.0,7.5,9.0,11.5,7.0,11.25,11.75,1.25
81,North Africa,aggressive_trade,True,725.0500000000065,10.0,12.166666666666666,12.333333333333334,11.166666666666666,12.5,12.5,20.666666666666668,14.666666666666666,14.0,14.5,1.6666666666666667
82,North Africa,aggressive_trade,False,-0.640000000028694,10.8,11.4,12.8,10.2,12.6,12.2,10.4,11.0,10.2,11.6,3.8
82,North Africa,aggressive_trade,True,1277.0999999999672,11.2,13.2,11.0,11.0,12.4,14.0,22.2,13.4,11.6,12.8,1.4
83,North Africa,aggressive_trade,False,-0.6250000000063439,10.25,10.25,11.0,12.75,9.0,9.75,8.75,7.75,9.0,12.5,2.0
83,North Africa,aggressive_trade,True,3720.51666666683,11.166666666666666,13.666666666666666,13.0,12.833333333333334,13.0,12.666666666666666,28.166666666666668,10.833333333333334,13.5,8.5,1.1666666666666667
84,North Africa,random_trade,False,-0.7800000000003939,4.0,4.1,2.8,2.9,4.2,3.7,4.1,4.7,3.2,2.7,0.7
85,North Africa,conservative_trade,False,-0.7500000000005163,1.9,1.3,1.7,1.3,1.9,2.1,3.2,2.0,1.3,1.9,0.1
86,North Africa,conservative_trade,False,-0.6700000000005134,1.6,1.4,1.8,2.2,1.5,1.2,3.7,1.5,1.7,1.2,0.2
87,North Africa,aggressive_trade,False,-0.7000000000268096,11.2,10.6,7.6,9.2,10.2,12.8,12.0,13.8,9.6,8.4,1.2
87,North Africa,aggressive_trade,True,645.1199999999695,14.8,11.8,12.6,13.8,14.2,11.6,18.4,13.6,12.2,12.2,1.8
88,North Africa,random_trade,False,-0.510000000000666,2.8,4.0,2.9,3.7,3.8,3.0,3.9,3.8,4.1,2.9,0.5
89,North Africa,conservative_trade,False,-0.7600000000004483,1.6,1.6,1.8,1.7,2.3,1.4,2.9,1.7,1.4,1.4,0.1
90,North Africa,aggressive_trade,False,-0.7000000000076585,8.833333333333334,9.5,12.333333333333334,11.5,10.0,8.0,8.333333333333334,12.5,8.333333333333334,9.5,2.1666666666666665
90,North Africa,aggressive_trade,True,178.60000000001295,13.5,7.75,15.5,12.5,12.25,10.25,26.75,9.25,12.75,12.0,0.5
91,Tarraconensis,conservative_trade,False,-0.6700000000006003,1.9,1.9,2.4,1.8,2.3,1.6,2.7,1.0,2.0,1.6,0.1
92,Tarraconensis,conservative_trade,False,-0.6100000000007152,1.3,1.7,2.4,1.7,1.7,0.7,3.3,1.8,1.8,2.3,0.2
93,Tarraconensis,conservative_trade,False,-0.4700000000007705,2.0,2.2,2.4,1.1,1.8,1.8,2.3,1.5,2.8,1.5,0.1
94,Tarraconensis,random_trade,False,-0.6500000000007302,5.0,4.4,4.4,3.0,4.0,3.5,5.2,3.7,2.9,3.3,0.7
95,Tarraconensis,random_trade,False,-0.7400000000008086,3.4,2.8,3.1,4.8,3.5,2.3,5.0,3.6,4.3,4.0,0.7
96,Tarraconensis,conservative_trade,False,-0.4000000000006184,1.9,1.0,1.4,1.8,2.2,1.4,3.3,2.3,0.9,2.3,0.3
97,Tarraconensis,aggressive_trade,False,-0.724999999986366,11.25,12.5,13.75,10.25,10.5,17.75,8.75,12.0,12.5,10.5,1.5
97,Tarraconensis,aggressive_trade,True,2992.3166666668244,12.166666666666666,12.666666666666666,15.0,11.666666666666666,13.666666666666666,14.5,16.333333333333332,13.166666666666666,12.666666666666666,17.0,0.8333333333333334
98,Tarraconensis,random_trade,False,-0.5600000000008147,3.4,4.5,3.3,3.5,3.7,4.7,4.3,3.3,3.6,5.3,0.7
99,Tarraconensis,conservative_trade,False,-0.7100000000006176,1.2,1.1,1.5,1.3,1.8,1.6,3.5,1.6,1.9,2.1,0.2
100,Tarraconensis,conservative_trade,False,-0.6300000000006599,1.4,2.0,1.8,1.9,1.8,1.8,2.8,1.8,2.0,1.8,0.2
101,Western Mediterranean,random_trade,False,-0.6300000000006767,4.5,3.5,3.3,2.5,3.0,5.5,4.6,4.0,3.0,3.7,0.5
102,Western Mediterranean,conservative_trade,False,-0.7300000000006344,1.7,1.6,1.7,1.4,1.2,1.8,3.0,2.3,2.3,2.1,0.4
103,Western Mediterranean,conservative_trade,False,-0.6700000000006275,2.1,1.4,1.3,1.4,1.3,1.5,4.1,1.9,1.3,0.8,0.2
104,Western Mediterranean,aggressive_trade,False,-0.8500000000119239,14.5,12.5,12.5,13.0,9.5,16.0,11.5,12.5,12.0,12.0,1.0
104,Western Mediterranean,aggressive_trade,True,2062.7374999999956,15.125,12.875,12.875,13.75,14.125,14.5,17.5,11.625,11.5,11.625,1.0
105,Western Mediterranean,aggressive_trade,False,-0.8125000000381933,13.125,12.125,11.125,11.125,10.5,11.875,8.0,11.25,12.0,12.375,1.875
105,Western Mediterranean,aggressive_trade,True,1008.7000000000372,11.5,11.5,11.5,16.0,10.5,15.5,17.0,9.5,17.0,16.5,2.5
106,Western Mediterranean,conservative_trade,False,-0.7900000000005918,1.3,1.2,1.9,1.4,1.2,2.0,3.7,2.1,1.2,1.8,0.0
107,Western Mediterranean,random_trade,False,-0.47000000000075826,3.5,3.6,3.4,3.2,4.1,4.0,2.4,2.9,4.4,3.5,0.7
108,Western Mediterranean,random_trade,False,-0.560000000000789,3.3,3.5,2.9,4.3,4.0,4.0,5.5,4.1,3.1,4.3,0.5
109,Western Mediterranean,aggressive_trade,False,-0.5000000000186631,9.25,7.5,8.5,7.0,12.0,12.5,9.0,11.75,13.75,9.75,3.25
109,Western Mediterranean,aggressive_trade,True,6631.066666666894,12.0,10.666666666666666,12.833333333333334,11.833333333333334,13.833333333333334,13.333333333333334,28.5,13.0,9.666666666666666,13.166666666666666,0.6666666666666666
110,Western Mediterranean,random_trade,False,-0.7400000000007665,3.2,2.3,4.8,2.6,4.2,2.8,5.4,4.1,3.0,3.5,1.2
