Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,IberianPottery,TarrPottery,AegeanPottery,WMPottery,ItalianPottery,EMPottery,EgyptianPottery,NAPottery,BaeticanPottery,AdriaticPottery,GallicPottery
111,Western Mediterranean,conservative_trade,False,1.3025000000000326,1.2,1.2,1.0,1.4,0.9,1.0,0.9,0.6,1.7,1.4,1.2
112,Western Mediterranean,random_trade,False,1.4422499999999574,1.2,1.1,2.5,1.9,1.6,1.6,1.3,1.0,1.5,1.6,1.9
113,Western Mediterranean,aggressive_trade,False,7.430999999999838,0.7,5.7,3.1,2.6,0.7,2.4,6.6,3.7,0.5,8.0,6.5
114,Western Mediterranean,random_trade,False,3.078749999999974,0.9,3.7,0.7,1.8,0.5,1.2,2.2,1.1,0.6,2.4,3.1
115,Western Mediterranean,conservative_trade,False,4.665999999999998,1.6,0.8,0.6,0.8,1.3,1.3,1.2,1.2,1.5,0.9,1.2
116,Western Mediterranean,aggressive_trade,False,3.7322499999999814,0.8,4.4,3.0,2.4,1.0,2.7,6.6,1.9,0.5,7.3,8.5
117,Western Mediterranean,conservative_trade,False,2.515000000000036,1.1,1.2,1.3,0.5,1.6,1.0,0.9,0.7,1.4,1.3,1.2
118,Western Mediterranean,aggressive_trade,False,9.078500000000735,0.2,4.8,2.7,1.5,0.4,1.9,7.8,2.0,0.4,9.2,9.6
119,Western Mediterranean,conservative_trade,False,2.523000000000005,1.0,1.3,1.0,0.9,0.7,1.1,1.4,1.2,1.3,0.9,1.3
120,Western Mediterranean,conservative_trade,False,1.1024999999999967,0.8,1.1,1.1,1.2,1.0,1.2,1.1,1.9,1.4,0.4,1.1
121,State,conservative_trade,False,1.6400000000000747,1.0,1.4,0.8,1.1,1.3,1.1,1.1,1.8,1.0,1.6,1.2
