Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,GallicPottery,NAPottery,TarrPottery,EgyptianPottery,EMPottery,BaeticanPottery,WMPottery,IberianPottery,AegeanPottery,AdriaticPottery,ItalianPottery
91,Tarraconensis,random_trade,False,0.0,2.3,2.1,2.9,2.1,2.3,0.9,1.9,1.3,1.6,1.6,0.9
92,Tarraconensis,random_trade,False,0.0,2.1,2.3,2.2,1.5,2.1,1.2,1.6,0.9,2.4,1.5,1.0
93,Tarraconensis,conservative_trade,False,0.0,1.0,1.0,1.5,0.9,1.0,0.9,1.0,1.0,1.1,1.8,1.3
94,Tarraconensis,aggressive_trade,False,0.0,4.166666666666667,9.333333333333334,7.166666666666667,4.0,7.666666666666667,1.6666666666666667,7.166666666666667,1.5,5.5,4.166666666666667,1.5
94,Tarraconensis,aggressive_trade,True,4859.75,17.75,5.0,6.0,17.0,8.0,0.25,6.25,1.25,7.0,18.0,0.75
95,Tarraconensis,aggressive_trade,False,0.0,4.875,4.375,9.625,6.5,6.375,1.0,5.25,1.0,6.0,8.125,1.125
95,Tarraconensis,aggressive_trade,True,5355.0,10.0,12.0,15.0,13.5,7.0,0.5,6.5,0.0,6.0,9.0,1.0
96,Tarraconensis,conservative_trade,False,0.0,1.5,1.2,1.3,1.4,1.9,1.0,0.5,1.2,0.8,1.3,1.4
97,Tarraconensis,conservative_trade,False,0.0,0.9,1.5,1.3,0.7,0.8,0.9,1.4,1.1,1.2,1.6,1.2
98,Tarraconensis,aggressive_trade,False,0.0,6.666666666666667,7.5,14.0,6.666666666666667,6.333333333333333,0.6666666666666666,7.0,1.1666666666666667,5.833333333333333,7.5,0.8333333333333334
98,Tarraconensis,aggressive_trade,True,3337.5,20.0,4.25,11.75,16.5,3.0,0.25,4.5,0.0,3.5,18.75,0.75
99,Tarraconensis,conservative_trade,False,0.0,1.2,1.2,1.6,1.4,1.1,1.2,1.0,0.9,1.7,0.8,1.3
100,Tarraconensis,aggressive_trade,False,0.0,4.875,7.625,8.125,5.0,6.375,1.875,7.5,0.875,6.125,6.125,1.625
100,Tarraconensis,aggressive_trade,True,6168.0,16.0,5.0,10.0,17.5,6.0,0.0,5.0,0.0,4.0,18.5,0.5
101,Western Mediterranean,aggressive_trade,False,0.0,5.166666666666667,6.0,7.0,6.0,5.833333333333333,1.1666666666666667,5.5,0.5,5.666666666666667,5.333333333333333,1.3333333333333333
101,Western Mediterranean,aggressive_trade,True,12132.75,17.25,4.75,12.75,16.0,7.5,0.0,6.25,1.0,5.25,15.0,0.0
102,Western Mediterranean,random_trade,False,0.0,2.0,2.0,2.7,1.8,1.8,1.0,1.7,1.0,1.1,1.6,1.3
103,Western Mediterranean,conservative_trade,False,0.0,0.8,0.8,1.0,1.7,1.4,1.6,1.5,0.9,1.2,1.3,1.0
104,Western Mediterranean,conservative_trade,False,0.0,1.5,0.7,1.4,1.7,0.9,1.0,1.2,1.2,1.4,1.1,1.3
105,Western Mediterranean,conservative_trade,False,0.0,1.0,1.5,1.0,1.5,0.8,1.2,0.9,1.9,0.8,1.3,0.8
106,Western Mediterranean,aggressive_trade,False,0.0,6.0,6.5,11.0,2.1666666666666665,7.166666666666667,1.8333333333333333,7.166666666666667,0.8333333333333334,7.333333333333333,4.0,0.6666666666666666
106,Western Mediterranean,aggressive_trade,True,4153.25,11.75,4.25,14.0,16.0,5.75,0.25,5.25,0.25,7.25,15.0,0.25
107,Western Mediterranean,conservative_trade,False,0.0,1.6,1.2,1.5,1.6,1.0,0.6,0.9,1.4,1.4,1.1,0.9
108,Western Mediterranean,random_trade,False,0.0,3.3,2.4,2.2,2.1,1.7,0.8,2.1,0.9,1.9,2.0,0.6
109,Western Mediterranean,aggressive_trade,False,0.0,3.5,8.5,6.875,4.75,5.125,1.5,6.5,2.375,5.875,4.125,1.125
109,Western Mediterranean,aggressive_trade,True,1549.0,23.0,2.0,12.0,16.5,1.0,0.0,3.0,0.0,2.0,19.5,0.0
110,Western Mediterranean,random_trade,False,0.0,1.9,1.7,2.4,2.2,1.9,0.8,2.2,1.2,2.8,1.9,0.7
