Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,EMPottery,IberianPottery,WMPottery,AegeanPottery,GallicPottery,TarrPottery,BaeticanPottery,EgyptianPottery,ItalianPottery,AdriaticPottery,NAPottery,total_pottery
77,Italy,conservative_trade,False,"3,1","1,5","1,5","1,7",1,"1,5","1,5","1,6","2,2","2,1","1,7","1,8","18,1"
78,Italy,conservative_trade,False,"2,42","1,1","1,9","1,5","1,7","1,9","1,2","1,3","2,1","2,1","1,7","1,9","18,4"
79,Italy,conservative_trade,False,"3,37","1,5","1,8","1,3","1,8","1,7","1,7","1,6","2,2","1,6","1,7","1,3","18,2"
80,Italy,random_trade,False,"2,93","2,8","2,5","2,2","2,7","3,1","2,6","2,4","2,1",2,"2,9","2,3","27,6"
81,North Africa,random_trade,False,"1,89","2,1","2,2","1,9","2,7","2,4","2,5","1,8",3,"2,8","2,2","3,4",27
82,North Africa,aggressive_trade,False,"1,67","4,4","2,8","2,5","2,2","2,7",3,"2,8","3,3","2,7","2,6","3,3","32,3"
83,North Africa,conservative_trade,False,"1,53",2,"1,4","1,6","1,8","1,1","1,8","1,9","1,7","1,8","2,1","2,2","19,4"
84,North Africa,aggressive_trade,False,"1,64","2,8","2,5",3,"2,8","3,8","2,7",3,"4,2","3,2","2,9","2,9","33,8"
85,North Africa,conservative_trade,False,"3,4","1,8",2,"0,8","1,9","1,8","1,3","1,6","1,4",2,"2,1","1,5","18,2"
86,North Africa,random_trade,False,"1,37","2,4","3,1","2,5","2,5",2,"1,8","2,7","1,9",3,"2,5","2,1","26,5"
87,North Africa,random_trade,False,"1,77","1,9","2,6","2,6","2,6","2,1","3,6","2,5","2,4","2,3","2,6","1,9","27,1"
88,North Africa,random_trade,False,"1,89","1,6","2,2","2,2","1,8","2,6",3,"2,8","2,3","3,2","1,9","2,8","26,4"
89,North Africa,aggressive_trade,False,"3,78","2,6","3,5",2,"3,1","2,9","2,5","2,8","4,1","2,9","2,9","3,2","32,5"
90,North Africa,aggressive_trade,False,"2,15","4,1","2,5","2,7",3,"3,1","2,7","2,5","3,5","3,5",3,2,"32,6"
91,Tarraconensis,conservative_trade,False,"1,77","2,3","2,1",2,"2,3","1,6","1,6","1,7","1,8","1,3","1,8","1,4","19,9"
92,Tarraconensis,random_trade,False,"2,2","1,9","1,8","3,5",2,2,"2,4","2,5","2,1","1,7","2,8","3,2","25,9"
93,Tarraconensis,random_trade,False,"1,33","2,5","2,4","2,2","3,1","1,6","3,1","2,2","2,1","3,3","2,6","2,1","27,2"
94,Tarraconensis,conservative_trade,False,"1,89",2,"1,9","1,4","1,5","1,8","2,1","2,2","1,6","1,8","1,5","1,6","19,4"
95,Tarraconensis,aggressive_trade,False,"1,48","2,8",3,3,"2,4","3,7","3,1","2,8","2,4","3,4","3,6",3,"33,2"
96,Tarraconensis,random_trade,False,"2,31","2,7","3,1","2,7","2,7","2,4","3,4","2,4","1,9","1,9","2,2",2,"27,4"
97,Tarraconensis,random_trade,False,"2,29","2,1","1,7","2,3","2,3","2,4","2,4",2,"2,1","2,8","2,4","3,6","26,1"
98,Tarraconensis,aggressive_trade,False,"2,46","2,9","2,6","2,5","2,7","3,2","2,8","3,1","3,3","2,8","3,7","2,7","32,3"
99,Tarraconensis,random_trade,False,"1,94","2,2","3,4","2,3",2,"1,9","3,6","2,4","1,7","2,4","1,8","1,6","25,3"
100,Tarraconensis,random_trade,False,"3,79","2,5","2,8","2,6","1,9","3,2","2,5","3,3","1,9","2,8","2,5","2,3","28,3"
101,Western Mediterranean,aggressive_trade,False,"1,76","3,6","4,2","2,7","2,9",3,"3,5","3,9","3,7","2,5","2,5","3,2","35,7"
102,Western Mediterranean,aggressive_trade,False,"3,42","3,2","3,8","2,5","3,5",3,"3,2","2,6","2,2","3,3","4,3","2,7","34,3"
103,Western Mediterranean,random_trade,False,"1,3","3,3",3,"2,6","2,6","3,2","2,2",2,2,"2,4","2,5","2,9","28,7"
104,Western Mediterranean,aggressive_trade,False,"2,98","3,3","2,9","3,3","2,8","2,6","3,1","4,2","2,7","2,6","2,4","4,1",34
105,Western Mediterranean,aggressive_trade,False,"3,63","3,1","2,3","3,6","3,1",3,4,"2,6","3,8","3,4","2,7","3,6","35,2"
106,Western Mediterranean,random_trade,False,"2,58","3,1","2,2","2,5","3,3","1,5","2,3","3,2","2,4","1,9","2,2","2,1","26,7"
107,Western Mediterranean,aggressive_trade,False,"2,2","3,8",3,"3,5","3,8","2,4",3,"2,6","3,7","3,2","3,1","2,5","34,6"
108,Western Mediterranean,aggressive_trade,False,"3,2","2,5","2,7","2,7","4,4","2,5","2,4","2,9","3,5","4,3","2,8","2,9","33,6"
109,Western Mediterranean,conservative_trade,False,"1,87","1,8","2,3","1,8","2,3",2,"1,3","1,8","1,5","2,4","2,6","1,7","21,5"
110,Western Mediterranean,conservative_trade,False,"2,77","1,9","1,5","2,3","1,5","1,5","2,7","2,8",1,"1,8","1,9","1,1",20
